词条	拼音	分类	释义	例句
拉娘倒		动作	基本意思同“拉到”，但多单用，有一定感情色彩	难末~。（这下完完大吉。）
揽（手）	le231	动作	沾（手）	我来好哉，倷覅再~手哉。（我来吧，你别再沾手了。）
俚命	li44min231	动作	苟延残喘	一日天吃二两，实头是勒海~哉。（一天吃二两，真是在等死了！）
领盆	lin231ben223	动作	认输，服气（多用否定式）	我死匣弗~葛。（我死也不会服气！）
腻注	gni22tsyu44	动作	感到恶心	
弄松	lon22son44	动作	捉弄	覅去~别人。（别去捉弄人家。）
走样	tseu52yan231	动作	制作的物件跟本来的不一样	
劈对	phih55te412	动作	正对	
碰僵	phan41cian34	动作	弄僵	
欺瞒	chi55moe21	动作	欺负	
坍台	the44de223	动作	丢脸	
收作	seu55tsoh21	动作	①修理	枱子坏脱则，要~~。
收作	seu55tsoh22	动作	②收拾	房间龌龊则，要~~。
合淘	keh43dau223	动作	郊游	
发甲	faeh44kaeh44	动作	发出威力，大发脾气，也可喻为出人头地	
糟蹋	tsau55thaeh21	动作	浪费	~脱弗少物事。（浪费了很多东西。）
歪脚	hua44ciah43	动作	做某事临时走开一会儿	忙得脚匣弗好歪一歪。（忙得腿都不能挪一步。）
弗碍	feh55nge412	动作	没关系，没事儿	
是	zy231	动作		我~老师。
弗是	feh55zy412	动作	不是	俚~老师。
有	yeu231	动作		我~一个小人（孩子）。
无不	m22peh44	动作	勿	~铜钿（没有钱）
要	iau523	动作		我~哀个（这个）
勒海	leh23he31	动作	在	俚~屋里。（他在家。）
弗勒海		动作	不在	俚~。（他不在）
大	dou231	形容词		
小	siau523	形容词		
多	tou44	形容词		
少	sau51	形容词		
长	zan223	形容词	①绳蛮~；	
长	zan223	形容词	②（个子）高	俚比我~。
短	toe51	形容词	绳忒~	
矮	a51	形容词	我比俚~	
高	kau44	形容词	飞机飞得~	
低	ti44	形容词	鸟飞得~|凳子坐得~	
粗	tshou44	形容词		
细	si523	形容词	绳忒~|头颈（脖子）~	
深	sen44	形容词		
浅	chie51	形容词		
快	khua523	形容词	①速度快；	
快	khua523	形容词	②锋利	刀~
慢	me231	形容词	走路走得~	
早	tsau51	形容词	醒得~	
晏	e523	形容词	晚	睏得忒~（睡得太晚）
阔	khueh43	形容词	宽	马路蛮~
狭	ghaeh23	形容词	窄	弄堂忒~
对	te523	形容词	账算~则	
错	tsho44	形容词	账算~则	
干	koe44	形容词	衣裳~哉	
潮	zau223	形容词	衣裳沰~则（衣服淋湿了）	
凸	dih23	形容词	肚皮（肚子）~出	
凹	au44	形容词	眼睛~进去	
绽	ze231	形容词	籽粒饱满	
瘪	pih43	形容词	皮球~脱脱	
咸	ghe223	形容词	菜~	
淡	de231	形容词	菜~	
冷	lan231	形容词	天气~	
热	gnih23	形容词		
荫	in44	形容词	似比“冷”更强调温度低	天~得啦
厚	gheu231	形容词	①板~；	
厚	gheu231	形容词	②稠	粥~
薄	boh23	形容词	①板~；	
薄	boh23	形容词	②稀	粥~
正	tsen523	形容词		
歪	hua44	形容词	帽子戴~脱哉	
斜	zia223	形容词		
笡	tshia523	形容词	斜	
弯	ue44	形容词	条路是~葛	
孟	man231	形容词	密：菜种得~	
稀	shi44	形容词	菜种得~	
壮	tsaon523	形容词	①肥；	鸡蛮~
壮	tsaon523	形容词	②胖	人蛮~
瘦	seu523	形容词	鸡蛮~|人蛮~	
精	tsin44	形容词	（做食物的肉）瘦	拣~葛吃（挑瘦的吃）
红	ghon223	形容词		
白	bah23	形容词		
黑	heh43	形容词		
黄	waon223	形容词		
蓝	le223	形容词		
青	tshin44	形容词		
绿	loh23	形容词		
灰	hue44	形容词		
紫	tsy51	形容词		
大红	dou22ghon44	形容词		
粉红	fen41ghon34	形容词		
火红	hou41ghon34	形容词	红中带黄	
天蓝	thie55le21	形容词		
火黄	hou41waon34	形容词	黄中带红	
藏青	zaon22tshin44	形容词		
草绿	tshau41loh34	形容词		
玫瑰红		形容词		
赭石	tso55zah21	形容词	棕色	
栗壳色		形容词	栗子壳的颜色，比赭石稍浅	
玄色	yoe22seh44	形容词	黑色，多用于衣服	~棉袄
花白	ho55bah21	形容词	专指头发黑白相间	
好	hau51	形容词	统称	
坏	ua523	形容词	统称	
灵	lin223	形容词	好，只能做谓语，不能做定语	搿只照相机~葛。不能说：*~（葛）照相机
崭	tse51	形容词	比“灵”程度更高	搿只照相机真~！
牢	lau223	形容词	①牢固	只台子做得慢~。
牢	lau223	形容词	②中zhòng	牢哉。（球打）中了！
牢	lau223	形容词	③结果补语	看~俚。（看住他！）
扎制	tsaeh55tsyu412	形容词	坚固、结实	
蹩脚	bih23ciah55	形容词	（质量、能力）差	
推板	the55pe21	形容词	（质量、能力）差	
雅雅乎		形容词	（质量、能力）差，略有戏谑义，只能做谓语	搿种电视机是~葛。
搭浆	taeh55tsian34	形容词	①质量差	件衣裳做得忒~哉。（这衣服做得太差了。）
搭浆	taeh55tsian34	形容词	②做事马虎	倷好好叫做，覅~啊。（你好好干，别马虎啊！）
清爽	tshin55saon21	形容词		
干净	koe55zin21	形容词		
龌龊	oh55tshoh55	形容词	脏	
夜夜乎		形容词	表示程度太严重，令人吃惊	一件衣裳要一万块，真是~哉◇与“雅雅乎”不同
差弗多		形容词	差不多	
差仿弗多		形容词	差不多	
鲜鲜	sie55sie21	形容词	新鲜	搿肉弗大~哉。（这肉不太新鲜了。）
酌货	tsah55hou412	形容词	容器的容量大	哀只包蛮~葛。（这只包很能装东西。）
稳足	uen41tsoh34	形容词	稳当	
测	tsheh43	形容词	纸、布等因氧化而变脆、易破碎	件衣裳~脱哉。（这件衣服变质坏了。）
巉	ze231	形容词	陡	搿部胡梯~得啦。（这楼梯真陡。）◇《集韵》豏韵士减切“高峻貌”
催巉	tshe55ze21	形容词	陡	
□	goe223	形容词	碗、坛子之类的口比较小	搿只甏的口蛮~葛。（这坛子的口挺小的。）
□	ga231	形容词	东西变质而析出水分	隔夜粥有点~哉。（隔夜的粥有点出水了。）
□	go223	形容词	①东西大而笨重	只大橱做得忒~哉。（这大衣柜做得太笨重了。）
□	go223	形容词	②人不灵活	个小人实头~葛。（这孩子真不灵活。）
□	hau44	形容词	过分的咸，齁	放仔实梗星盐，～杀哉。（放了那么些盐，齁死了。）
蒿	hau44	形容词	有哈喇味	猪油~脱哉。（猪油有哈喇味了。）
翘	jiau223	形容词	不平	搿块板~葛。
𢜶	sau523	形容词	光阴迅速	辰光~杀◇《集韵》号韵先到切“快也”
香串	shian55tshoe21	形容词	（食物）鲜美	吃勒海蛮~。（吃着挺香。）
软串	ngoe22tshoe44	形容词	（食物）软和	排骨氽得~点。
软熟	ngoe22zoh44	形容词	（衣物）软和	被头摸勒海蛮~葛。
缩笃	soh55toh55	形容词	不新鲜	鸡蛋糕~覅吃吧。（鸡蛋糕不新鲜了，别吃吧。）
蔫	ie44	形容词	颜色不鲜艳	
衣水	i55syu21	形容词	因潮湿不干净而感觉不适。	床浪摸勒海~哉。（床上摸着潮得不舒服。）
衣徐	i55zi21	形容词	①难以言状的不舒服感	吃起来有点~。（吃着味儿有点别扭。）
衣徐	i55zi21	形容词	②非哭非笑的表情	~仔只面孔。（指脸上表情尴尬。）
隐写	in52sia21	形容词	荫蔽，不显露	马桶末放得~点。（马桶该放得荫蔽些。）
兴	shin44	形容词	生长茂盛	树~得啦。（树真茂盛。）
弯脚	ue55ciah21	形容词	指处所的位置出行不便，要绕路	
宽舒	khuoe55syu21	形容词	空间较大，感觉舒畅	
直落	zeh23loh55	形容词	挺直，不歪斜	衣裳拉拉~。
挺	thin51	形容词	硬而直，多用于衣服	西装蛮~
挺括	thin41kuaeh34	形容词	硬而直，多用于衣服	西装蛮~
笨头	ben22deu44	形容词	铅笔笔尖不尖	~铅笔
献	shie523	形容词	鲜艳	颜色忒~哉。（颜色太鲜艳了。）
敬	cin523	形容词	容易听见，声音容易传过去。	只隔一层板壁，讲点闲话蛮~葛。（只隔一层板壁，说起话来很容易互相听见。）
乡气	shian55chi21	形容词	土气	俚件衣裳有点~。
便当	bie22taon44	形容词	方便，不困难	趁汽车一站就到，蛮~。
便热	bie22gnih44	形容词	①同“强”；	
便热	bie22gnih44	形容词	②（占）便宜	覅去荐别人家~。（别去占人家便宜。）
回潮	we22zau44	形容词	返潮	黄梅天房间里~得来。
原个头		形容词	整个的	~葛鸡蛋。
调他	diau22tha44	形容词	时间宽裕，从容	辰光蛮~勒海，慢慢叫好勒。（时间挺宽余，可以慢慢地来。）
耀光	yau22kuaon44	形容词	因光线反射而看不清。	黑板浪~葛，看弗清爽。
丁倒	tin55tau21	形容词	颠倒	鞋子末~着仔。（怎么）倒穿了鞋。
舒齐	syu55zi21	形容词	①指环境舒适整齐；	
舒齐	syu55zi21	形容词	②事情办妥	事体裁~则。（事情都办妥了。）
窝逸	ou55yih21	形容词	（环境）温暖、舒适	哀只房间蛮~葛。（这个房间挺温暖、舒适。）
脗缝	min231von231	形容词	严丝合缝◇脗，《广韵》轸韵武尽切“脗合”	
鲜希	sie55shi21	形容词	奇怪	
相巧	sian55chiau21	形容词	恰巧符合要求	倷到商场里去，看见~葛衣裳搭我买一件。（你去商场，见到符合我要求的衣服帮我买一件。）
荐身	tsie55sen21	形容词	上算，不吃亏	算下来蛮~勒海。（算起来很上算。）
去货	chi55hou21	形容词	东西减少得快	吃起来来得葛~。（吃起来很容易吃完。）
滑肠	waeh23zan31	形容词	能起通便作用	香蕉吃仔~葛。
狼犺	laon22khaon44	形容词	东西大而累赘	
腻脂	gni22tsyu44	形容词	（东西）令人恶心	只镬子看勒海~得啦。（这锅子看着真恶心<指锅太脏>。）
秃龙	thoh55lon412	形容词	外衣里头没穿内衣	着件~棉袄。
壳龙	khoh55lon34	形容词	空，“空”的反切	衣裳忒大则，着勒海有点~~。（衣裳太大了，穿着有点空。）
实则	zeh23tseh55	形容词	不通	前头是条~弄堂。（前头是条死胡同。）
风坚	fon55cie21	形容词	食物的外表风干	年糕放仔两日~哉。（年糕放了几天风干了。）
见数	cie55sou21	形容词	数量少	我搿点工资是~葛。
有限	yeu24yie21	形容词	数量少，“限”文读，比较特殊	同“见数”
日长	gnih23zan31	形容词	白天较长，是一个形容词	现在天~哉。
笔挺	pih55thin52	形容词	形容很挺	西装~
必静	pih55zin52	形容词	形容很安静	
冰荫	pin55in21	形容词	冰凉	
拍满	phah55moe52	形容词	东西装得很满	
碌乱		形容词	形容很乱	屋里向弄得~。
碌乱三千		形容词	形容很乱	
突𪢮𪢮		形容词	（圆形物的）四周	~一圈裁是金葛。（周围一圈都是金的。）
血血叫		形容词	臭得令人难以忍受	味道~
拍拍潽		形容词	形容非常满	
必必静		形容词	非常安静	
独独煎		形容词	形容水沸腾	
热烔烔		形容词	形容热，褒义	
□□渧		形容词	形容湿透	身浪沰得~。（身上淋得湿透了。）
□	jia223	形容词	能干	俚笃屋里向蛮~葛。（他妻子挺能干的。）
□	gen231	形容词	（脾气）犟	脾气实头~葛。（脾气真犟。）
□	han51	形容词	歪（脖子）	俚葛头像杀有点~葛。（他的脑袋好像有点歪。）
锄	zeu223	形容词	困倦	今朝搿人~得啦。（今天这人好困倦啊<这人指自己>。）
周	tseu44	形容词	性格不随和，难伺候	俚个脾气~杀葛。
茄	ga231	形容词	对某事没有兴趣	个小人吃物事倒是~葛，顶好孛相。（这孩子吃东西倒随便，就是爱玩。）
茄门	ga22men44	形容词	对某事没有兴趣	
戆	gaon231	形容词	傻	
颛	tsoe44	形容词	①死心眼儿、想不开、不会见机行事，看不透人情世故	倷个人~是~得来。（你这个人真是不懂世故。）
颛	tsoe44	形容词	②言行不得体。	倷吃~脱哉。（你昏头了。）
殟塞	ueh55seh55	形容词	心中说不出的难受	心里~得了。
□	on523	形容词	心中说不出的难受	
□肿	on55tson21	形容词	心中说不出的难受	
惹气	za24chi21	形容词	令人生气	想想真是~葛
□罗	gou22lou44	形容词	（手）冻僵	天冷的啦，手匣~哉。（天好冷啊，手都僵了。）
阿末	aeh55meh55	形容词	最后	排着~一个。（排到最后一个。）
着末	zah23meh55	形容词	最后	
拗	au523	形容词	口音特别	口音有点~（口音有点特别<即不是本地话>。）
噱	shiuh43	形容词	让人发笑，可乐	听勒海真葛蛮~葛。
要好	iau55hau21	形容词	（关系）好	俚笃两家头来得个~。（他们俩<关系>好得很。）
巴结	po55cih21	形容词	努力、勤奋，褒义，没有讨好人的意思	做事体蛮~葛。
把细	po52si21	形容词	（做事）谨慎	
百抓	pah55tsa34	形容词	笨手笨脚，什么都做不来	做点事体总归~葛。（做点事总是笨手笨脚的。）
称心	tshen55sin21	形容词		
吃香	chih55shian34	形容词	吃得开	
吃硬	chih55ngan412	形容词	经受得起打击	搿小人（孩子）蛮~葛，敲俚匣弗哭（打他也不哭）。
乖	kua44	形容词	（孩子）听话	
厌	ie523	形容词	淘气	个小人~是~得来。（这孩子真淘气啊。）
嗲	tia51	形容词	撒娇的样子	搿小娘儿~是~得来！
扎顿	tsah55ten412	形容词	（身体）结实	
扎□	tsah55pon412	形容词	（身体）结实	
有清头		形容词	（孩子）懂事	俉笃儿子年纪末小，蛮~葛。（你儿子年纪小，挺懂事的。）◇不能单说“清头”
